# kT Energy    Magnetism   Heat_Cap   Susceptability 
1.0	-4645.305305305305	16.0	0.5818401929456986	0.0
1.1	-4633.4974974974975	16.0	0.0761143767713974	0.0
1.2	-4617.253253253253	16.0	0.0900497516758222	0.0
1.3	-4598.038038038038	16.0	0.32783234229603675	0.0
1.4	-4621.973973973974	16.0	0.1801367333299265	0.0
1.5	-4563.551551551552	16.0	0.23586236816284642	0.0
1.6	-4499.811811811812	16.0	0.3030400119839559	0.0
1.7	-4411.647647647647	16.0	0.37482187682103857	0.0
1.8	-4311.923923923924	16.0	0.4642126346368862	0.0
1.9	-4180.116116116116	16.0	0.6592993581426889	0.0
2.0	-4015.5875875875877	16.0	0.7142188274360447	0.0
2.1	-3777.389389389389	16.0	0.8388360721290478	0.0
2.2	-3514.202202202202	16.0	1.2897250271060443	0.0
2.3	-3203.2472472472473	16.0	1.0196608653969608	0.0
2.4	-2969.6376376376375	16.0	0.9811117245596169	0.0
2.5	-2747.019019019019	16.0	0.836345506379252	0.0
2.6	-2554.058058058058	16.0	0.7258624679491701	0.0
2.7	-2386.354354354354	16.0	0.5798965801773548	0.0
2.8	-2254.4544544544547	16.0	0.49553786836212116	0.0
2.9	-2140.3163163163163	16.0	0.47706989005862194	0.0
3.0	-2033.6536536536537	16.0	0.3818262780186481	0.0
